,barrels08,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
44034,21.25071429,12,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,634.7857143,14,0.0,0,0.0,0.0,0.0,0.0,8.0,5.7,Rear-Wheel Drive,4851,(350 V8) (FFS),-1,4950,0,Regular,Regular Gasoline,-1,-1,17,0.0,0,0.0,0.0,0.0,0.0,0,0,8412,0,0,GMC,G15/25 Rally 2WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,15.0,0.0,24.0,0.0,Vans,1991,-12000,,CLKUP,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44035,21.01147059,15,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,598.8235294,17,0.0,0,0.0,0.0,0.0,0.0,8.0,6.2,Rear-Wheel Drive,4861,(NO-CAT),-1,4900,0,Diesel,Diesel,-1,-1,20,0.0,0,0.0,0.0,0.0,0.0,0,0,8413,0,0,GMC,G15/25 Rally 2WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,18.0,0.0,28.2051,0.0,Vans,1991,-11750,,CLKUP,,,Diesel,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44036,22.88538462,11,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,683.6153846,13,0.0,0,0.0,0.0,0.0,0.0,8.0,5.7,Rear-Wheel Drive,4851,(350 V8) (FFS),-1,5350,0,Regular,Regular Gasoline,-1,-1,16,0.0,0,0.0,0.0,0.0,0.0,0,0,8414,0,0,GMC,G35 Rally 2WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,14.0,0.0,22.0,0.0,Vans,1991,-14000,,CLKUP,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44037,18.594375,14,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,555.4375,16,0.0,0,0.0,0.0,0.0,0.0,6.0,4.3,4-Wheel or All-Wheel Drive,4934,(FFS),-1,4350,0,Regular,Regular Gasoline,-1,-1,18,0.0,0,0.0,0.0,0.0,0.0,0,0,8415,0,0,GMC,Safari AWD (passenger),Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,17.7778,0.0,24.359,0.0,Vans,1991,-9000,,CLKUP,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44038,18.594375,15,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,555.4375,16,0.0,0,0.0,0.0,0.0,0.0,6.0,4.3,Rear-Wheel Drive,4834,(FFS),-1,4350,0,Regular,Regular Gasoline,-1,-1,20,0.0,0,0.0,0.0,0.0,0.0,0,0,8416,0,0,GMC,Safari 2WD (passenger),N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,18.0,0.0,27.0,0.0,Vans,1991,-9000,,CLKUP,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44039,16.52833333,16,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,493.7222222,18,0.0,0,0.0,0.0,0.0,0.0,4.0,2.4,Rear-Wheel Drive,57003,(FFS),-1,3850,0,Regular,Regular Gasoline,-1,-1,20,0.0,0,0.0,0.0,0.0,0.0,0,0,8417,0,0,Toyota,Previa,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,20.0,0.0,28.2051,0.0,Vans,1991,-6500,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44040,16.52833333,17,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,493.7222222,18,0.0,0,0.0,0.0,0.0,0.0,4.0,2.4,Rear-Wheel Drive,57003,(FFS),-1,3850,0,Regular,Regular Gasoline,-1,-1,20,0.0,0,0.0,0.0,0.0,0.0,0,0,8418,0,0,Toyota,Previa,Y,False,0,0,0,0.0,0.0,0.0,0.0,Manual 5-spd,21.0,0.0,28.0,0.0,Vans,1991,-6500,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44041,17.50058824,15,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,522.7647059,17,0.0,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel or All-Wheel Drive,57003,(FFS),-1,4100,0,Regular,Regular Gasoline,-1,-1,20,0.0,0,0.0,0.0,0.0,0.0,0,0,8419,0,0,Toyota,Previa All-Trac,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,19.0,0.0,27.0,0.0,Vans,1991,-7750,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44042,17.50058824,16,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,522.7647059,17,0.0,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel or All-Wheel Drive,57003,(FFS),-1,4100,0,Regular,Regular Gasoline,-1,-1,20,0.0,0,0.0,0.0,0.0,0.0,0,0,8420,0,0,Toyota,Previa All-Trac,N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 5-spd,20.0,0.0,27.0,0.0,Vans,1991,-7750,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44043,21.25071429,14,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,634.7857143,14,0.0,0,0.0,0.0,0.0,0.0,4.0,2.1,4-Wheel or All-Wheel Drive,59003,(FFS),-1,4950,0,Regular,Regular Gasoline,-1,-1,15,0.0,0,0.0,0.0,0.0,0.0,0,0,8421,0,0,Volkswagen,Vanagon Syncro 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 5-spd,17.7778,0.0,20.0,0.0,Vans,1991,-12000,,Creeper,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44044,19.834,15,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,592.4666667,15,0.0,0,0.0,0.0,0.0,0.0,4.0,2.1,Rear-Wheel Drive,59003,(FFS),-1,4600,0,Regular,Regular Gasoline,-1,-1,16,0.0,0,0.0,0.0,0.0,0.0,0,0,8422,0,0,Volkswagen,Vanagon/Camper 2WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 3-spd,18.8889,0.0,22.0,0.0,Vans,1991,-10250,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44045,17.50058824,16,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,522.7647059,17,0.0,0,0.0,0.0,0.0,0.0,4.0,2.1,Rear-Wheel Drive,59003,(FFS),-1,4100,0,Regular,Regular Gasoline,-1,-1,18,0.0,0,0.0,0.0,0.0,0.0,0,0,8423,0,0,Volkswagen,Vanagon/Camper 2WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 4-spd,20.0,0.0,24.359,0.0,Vans,1991,-7750,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44046,14.8755,18,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,444.35,20,0.0,0,0.0,0.0,0.0,0.0,4.0,2.5,Rear-Wheel Drive,4808,(FFS),-1,3450,0,Regular,Regular Gasoline,-1,-1,24,0.0,0,0.0,0.0,0.0,0.0,0,0,923,0,0,Chevrolet,Astro 2WD (cargo),N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,23.0,0.0,33.0,0.0,Vans,1985,-4500,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44047,14.16714286,19,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,423.1904762,21,0.0,0,0.0,0.0,0.0,0.0,4.0,2.5,Rear-Wheel Drive,4808,(FFS),-1,3300,0,Regular,Regular Gasoline,-1,-1,24,0.0,0,0.0,0.0,0.0,0.0,0,0,924,0,0,Chevrolet,Astro 2WD (cargo),N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 4-spd,24.0,0.0,33.0,0.0,Vans,1985,-3750,,SIL,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
